Episode: 161/200, Score: 700.0, Epsilon: 0.2
Episode: 162/200, Score: 700.0, Epsilon: 0.2
Episode: 163/200, Score: 700.0, Epsilon: 0.19
Episode: 164/200, Score: 700.0, Epsilon: 0.19
Episode: 165/200, Score: 700.0, Epsilon: 0.19
Episode: 166/200, Score: 700.0, Epsilon: 0.19
Episode: 167/200, Score: 533.0, Epsilon: 0.19
Episode: 168/200, Score: 30.0, Epsilon: 0.18
Episode: 169/200, Score: 16.0, Epsilon: 0.18
Episode: 170/200, Score: 185.0, Epsilon: 0.18
Episode: 171/200, Score: 664.0, Epsilon: 0.18
Episode: 172/200, Score: 12.0, Epsilon: 0.18
Episode: 173/200, Score: 160.0, Epsilon: 0.18
Episode: 174/200, Score: 327.0, Epsilon: 0.17
Episode: 175/200, Score: 454.0, Epsilon: 0.17
Episode: 176/200, Score: 700.0, Epsilon: 0.17
Episode: 177/200, Score: 700.0, Epsilon: 0.17
Episode: 178/200, Score: 700.0, Epsilon: 0.17
Episode: 179/200, Score: 700.0, Epsilon: 0.17
Episode: 180/200, Score: 700.0, Epsilon: 0.16
Episode: 181/200, Score: 700.0, Epsilon: 0.16
Episode: 182/200, Score: 124.0, Epsilon: 0.16
Episode: 183/200, Score: 83.0, Epsilon: 0.16
Episode: 184/200, Score: 107.0, Epsilon: 0.16
Episode: 185/200, Score: 196.0, Epsilon: 0.16
Episode: 186/200, Score: 18.0, Epsilon: 0.15
Episode: 187/200, Score: 118.0, Epsilon: 0.15
Episode: 188/200, Score: 102.0, Epsilon: 0.15
Episode: 189/200, Score: 139.0, Epsilon: 0.15
Episode: 190/200, Score: 188.0, Epsilon: 0.15
Episode: 191/200, Score: 210.0, Epsilon: 0.15
Episode: 192/200, Score: 201.0, Epsilon: 0.15
Episode: 193/200, Score: 280.0, Epsilon: 0.14
Episode: 194/200, Score: 700.0, Epsilon: 0.14
Episode: 195/200, Score: 112.0, Epsilon: 0.14
Episode: 196/200, Score: 190.0, Epsilon: 0.14
Episode: 197/200, Score: 700.0, Epsilon: 0.14
Episode: 198/200, Score: 700.0, Epsilon: 0.14
Episode: 199/200, Score: 700.0, Epsilon: 0.14
